accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
Q8R1N4,Nudcd3,treated_only,21607000.0,0.0,,
Q8R1Q3,Angptl7,treated_only,0.0,215370000.0,,
Q8R1Q9,Rbks,treated_only,45992000.0,0.0,,
Q8R2E9,Ero1lb,control_only,,,124690000.0,0.0
Q8R2K1,Fuom,treated_only,20620000.0,15239000.0,,
Q8R317,Ubqln1,treated_only,79125000.0,76732000.0,,
Q8R332,Nupl1,control_only,,,0.0,17674000.0
Q8R3N6,Thoc1,control_only,,,3625200.0,11933000.0
Q8R409,Hexim1,treated_only,5024300.0,3279800.0,,
Q8R422,Cd109,treated_only,0.0,35051000.0,,
Q8R429;O55143,Atp2a1;Atp2a2,treated_only,10546000.0,0.0,,
Q8R574,Prpsap2,control_only,,,0.0,27940000.0
Q8R574;Q9D0M1,Prpsap2;Prpsap1,treated_only,0.0,5624600.0,,
Q8VC03,Eml3,control_only,,,2403800000.0,3240400000.0
Q8VCD6,Reep2,treated_only,4313500.0,0.0,,
Q8VCI5,Pex19,control_only,,,27238000.0,3109200.0
Q8VCZ6,Sgsm3,treated_only,0.0,0.0,,
Q8VDC1,Fyco1,control_only,,,0.0,164040000.0
Q8VDL4,Adpgk,control_only,,,0.0,0.0
Q8VDP4,Ccar2,treated_only,14849000.0,0.0,,
Q8VE37,Rcc1,treated_only,2327600.0,0.0,,
Q8VE95,,treated_only,0.0,0.0,,
Q8VEA4,Chchd4,control_only,,,0.0,14597000.0
