© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
PDK1	kinase	2	 	 	0.000	8.08E-08	2.20E-03	ADAM17,AKT (family),AKT1,ERK1/2 (family),GSK3B,MTOR,PDK1,PKN2	 	37 (8)	8	2-deoxyglucose,BACH1,BCKDHA,COX17,EGFR,GHRL,IGF1R,IL15,IL1B,mir-17 (includes others),mono-(2-ethylhexyl)phthalate,MYCN,RICTOR,sirolimus,SKA3,SOX2,ST6GAL1,TGFB1,TRIB3,VHL,YY1	buparlisib,EGLN1,erteberel,idelalisib,IFIT2,IFNB1,largazole,mir-34 (includes others),MK2206,Pam3-Cys-Ser-Lys4,SENP2,setanaxib,SIRT3,SLC40A1,TET2,TP53	 	ADIPOQ,CCR6,DGKZ,LCK,LOXL2,OSBPL8,PIK3CB,PRKCZ,PTPN11,RPS6KB1,SMURF2,VIM	ADAM17,CCNB1,ERK1/2 (family),reactive oxygen species	 	 	 	 	
BIRC5	other	2	 	 	0.000	8.29E-08	2.83E-02	AURKB,BAX,BCL2,BIRC5,CASP3,CASP8,CENPA,CYCLIN E (family),EP300,HDAC1,MYC,RAC1,RB1,SP1,TP53,VEGFA	 	67 (16)	15	adenine,AIP,ANGPT1,baicalin,BAP1,CCNB1,CHEK2,CHGA,CSF1,CUL7,EGFR,EIF4G1,FGFR1,FNDC3B,GRM1,GSDMD,HRAS,IL17A,INSULIN (family),ITGA6,MALAT1,MAP2K4,MUC1,MYCN,nicotine,OGT,P70 S6K (family),PTAFR,RBX1,SB-431542,Sb202190,SB203580,sodium arsenite,SOX2,SREBF2,SRSF1,topotecan,YAP/TAZ (family),Z-LLL-CHO	4-hydroxytamoxifen,8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,ADIPOQ,atrasentan,AZD-1208,bile salts,calphostin C,CEBPD,CMP5,COPS5,cucurbitacin B,cyclic GMP,docetaxel,doxorubicin,echinomycin,emodin,ESR2,FABP3,FBXW7,gefitinib,GSI34,HOXA4,IFNA2,ITGB4,lapatinib,LATS (family),lovastatin,LY5,mir-34 (includes others),miR-34a-5p (and other miRNAs w/seed GGCAGUG),MK2206,ML364,monodansylcadaverine,NUMB,oxaliplatin,polyinosine-polycytidylic acid/polyethylenimine formulation,PRKAA (family),rebemadlin,RICTOR,sirolimus,SIRT6,STK3,tamoxifen,TFAP2A,torkinib,TRIM67,XAF1	 	IL13,IL9	BAX,VWF	 	 	 	 	
4-((4-(3,4-dichlorophenyl)-1,2,5-thiadiazol-3-yl)oxy)butan-1-ol	chemical reagent	3	 	 	0.000	8.37E-08	1.48E-02	4-((4-(3,4-dichlorophenyl)-1,2,5-thiadiazol-3-yl)oxy)butan-1-ol,ADD2,CANX,CLOCK,EIF4E,ERK (family),ERK1/2 (family),GRIN2B,GSK3B,HRAS,HSPB8,LAT,MAPK1,MAPK8,MTOR,MYH10,NFAT (family),NFKB (complex),P38 MAPK (family),PI3K (complex),PRKCG,RAC1,RARA,RGS2,STAT1,TEAD1,YAP1	 	64 (27)	23	 	 	 	 	 	 	 	 	 	
CTTN	other	2	 	 	0.000	8.38E-08	1.20E-03	AKT (family),CBL,CTTN,EGFR,ERK1/2 (family),F ACTIN (complex),FOCAL ADHESION KINASE (family)	 	33 (7)	6	CCNG2,CDC42,COLLAGEN TYPE I (complex),CSF1,EDN1,F2,FGF (family),FGF1,GNA11,I-BOP,IL3,INTEGRIN (complex),ITGB1,latrunculin B,MRTFA,PAK2,PDGF-BB (complex),RAC (family),TCR (complex),TGFB1,Z-LLL-CHO	1,2,4,5-benzenetetraamine,baicalin,CSK,dasatinib,diethylstilbestrol,IL9,ING1,MTSS1,palmitic acid	 	IL1B,RAP1 (family),reactive oxygen species	 	 	 	 	 	
STAT6	transcription regulator	2	 	 	0.000	8.39E-08	3.08E-02	AKT (family),ERK (family),FOXP3,IFNG,IL4,MAPK1,MAPK14,MAPK8,NFKB (complex),PPARG,STAT1,STAT3,STAT6,TGM2	 	70 (14)	14	ADAM17,AGT,DUOX1,EPCAM,GPBAR1,IFNA2,IL15,IL3,IL4 RECEPTOR (complex),lovastatin,OGT,OSM,PRKCZ,sodium orthovanadate,TGFB3	decitabine,dendrobium officinale polysaccharide,EGFR,gefitinib,lysophosphatidic acid,METTL3,miR-410-5p (and other miRNAs w/seed GGUUGUC),PRDM1,PROX1,PTPN1,SOCS5,TCR (complex)	 	ARG1,BARD1,CCL20,CDKN1A,COLLAGEN (family),CSN2,EFHD2,OPRM1,PDGFC,PREX1,PTGS2,RETNLB,SCGB3A1,ST6GAL1,TFF3,UCP1,VCAM1,VIM	ALDH2,ANXA1,APOE,Ccl6,FGF21,FSCN1,Gbp2,Igtp,IL17A,KCTD12,KSR1,MAPK1,PNPLA2	 	 	 	 	
PTPN11	phosphatase	2	 	 	0.000	8.44E-08	4.28E-02	ABL1,AKT1,CD247,CD28,CD3 (complex),EGFR,ERBB2,ERK (family),ERK1/2 (family),FASN,GAB1,GSK3B,HRAS,IGF1R,IRF1,JAK3,JNK (family),LYN,MAPK1,MAPK3,MTOR,NFKB (complex),NFKBIA,NRAS,P38 MAPK (family),P70 S6K (family),PTPN11,SND1,SPRY2,SRC (family),STAT1,STAT3,STAT5B,TCR (complex),TGF BETA (family),TYK2,VAV2,ZAP70	 	80 (38)	38	2-deoxyglucose,AGT,AZD8055,CCN2,CEACAM1,F2,FMR1,GAS6,HSPG2,IFNA2,IL17A,IL1B,INSR,lovastatin,METTL3,OSM,PDGF-BB (complex),PDK1,pioglitazone,PROS1,sodium orthovanadate,temozolomide	bisindolylmaleimide iv,CSK,ITGB4,LAT2,palmitic acid,PTPN2,valsartan	 	CHEK1,CSN2,CXCL8,ERK1/2 (family),GP6,GRB2,MAPK1,NRAS,SMURF2,SPRY2,VAV2	ARHGAP5,CCNG1,CDKN1A,CSF1,IFNB1,KIRREL1,MARCKS,MMP19,NPHS1,NTRK2,P70 S6K (family),PARD3,PLAUR,PTGS2,RPRM,RPS6KB1,Slfn1,TEK,TRK RECEPTOR (family)	 	 	 	 	
aprocitentan	chemical drug	3	 	 	0.000	8.60E-08	6.90E-03	AKT (family),AKT1,aprocitentan,CREB (family),EDNRA,EDNRB,ERK1/2 (family),MAPK1,MEK (family),PI3K (complex),PKC (family),PPARG,RHOA,SRF,STAT3	 	51 (15)	12	 	 	 	 	EDNRB	 	 	 	 	
sitaxsentan	chemical drug	3	 	 	0.000	8.60E-08	6.90E-03	AKT (family),AKT1,CREB (family),EDNRA,EDNRB,ERK1/2 (family),MAPK1,MEK (family),PI3K (complex),PKC (family),PPARG,RHOA,sitaxsentan,SRF,STAT3	 	51 (15)	12	 	 	 	 	EDNRB	 	 	 	 	
(-)-isoproterenol	chemical drug	2	 	 	0.000	8.66E-08	1.00E-03	(-)-isoproterenol,ADRB1,EGFR,ERK1/2 (family),MAPK1,MAPK3,PDE4D	 	34 (7)	6	 	 	 	EGFR,ERK1/2 (family),MAPK1	 	 	 	 	 	
atrasentan	chemical drug	3	 	 	0.000	8.74E-08	7.10E-03	AKT (family),AKT1,atrasentan,CREB (family),EDNRA,EDNRB,ERK1/2 (family),MAPK1,MEK (family),PI3K (complex),PKC (family),PPARG,RHOA,SRF,STAT3	 	51 (15)	12	 	 	 	 	BIRC5,EDNRB,PTGS2	 	 	 	 	
NPPB	other	3	 	 	0.000	8.75E-08	1.31E-02	AKT (family),AKT1,aldosterone,CASP3,CTH,EGFR,ERK1/2 (family),GAST,GUCY (family),GUCY1B1,IGF1R,JINK1/2 (family),LIPE,MMP1,MMP9,NPPB,NPR1,NPR3,NR3C2,P38 MAPK (family),P70 S6K (family),PKC (family),PRKAA (family),PTGS2,RELA,RGS4,ROCK2,SMAD2,SMAD3,SRC (family),VACUOLAR H+ ATPASE (complex)	 	58 (31)	30	ADAM17,AGT,ARRB1,CNP,EDN1,FGF (family),HBEGF,HRAS,IL17A,lysophosphatidic acid,MAPK (family),MDK,MRS 1754,MRTFA,MYD88,NFATC4,norepinephrine,Pam3-Cys-Ser-Lys4,PDGF-BB (complex),phenylephrine,SLC40A1,THRA,UCA1,WWTR1,YAP1,YY1	2-aminopurine,2-chloroadenosine,ADAM15,BCKDHA,calphostin C,CDON,chelerythrine,dapagliflozin,doxorubicin,ECHS1,fucoidin,GHRL,ilomastat,lapatinib,LIMD1,liraglutide,miR-30c-5p (and other miRNAs w/seed GUAAACA),NF1,NRG1,PNPLA2,SB203580,SU6656,THZ1,W7	 	cyclic GMP,UCP1	BAX,CCN2,COLLAGEN (family),PPP3R1,RPS6KB1,TGFB3	 	 	 	 	
ABCA12	transporter	3	 	 	0.000	8.77E-08	3.56E-02	ABCA12,AKT1,ATF2,BCL2,CDC42,EGFR,ERK1/2 (family),GBA1,GSK3B,IGF1R,INSR,JUN,MAP2K4,MAPK1,MAPK14,MAPK8,MMP9,MTOR,P38 MAPK (family),PPARG,RAF1,RB1,RET,SRF,TP53,YAP1	 	77 (26)	24	ceramide,EFNA1,EFNA5	 	 	CDC42	GBA1	 	 	 	 	
MLC (family)	group	3	 	 	0.000	8.77E-08	1.07E-02	ABL1,ACTIN (family),AKT (family),AKT1,CCND1,CDC42,CDH5,CREB1,DOCK1,ERK1/2 (family),FGF2,GSK3B,H2AX,IGF1R,IRS1,ITGB1,JNK (family),MAPK3,MLC (family),MRTFA,MYD88,MYH10,MYH3,MYL9,MYO5A,MYOSIN (complex),MYOSIN LIGHT CHAIN KINASE (family),NEDD9,NFKB (complex),PI3K (complex),PIK3R1,PTEN,PTK2,SRC,STAT3,VEGFA,YAP1	 	63 (37)	31	ADP,AGT,BAY K8644,CCL20,CCL25,CDC42,DGKZ,DIAPH1,dobutamine,EDN1,EPB41,F2,geranylgeraniol,lysophosphatidic acid,MAPK1,norepinephrine,NRG (family),NRG1,OXT,PDGF-BB (complex),phenylephrine,PKG (family),PRKCZ,ROCK (family),RUNX1	(-)-arctigenin,BMPR2,chelerythrine,cyclic GMP,ESR2,GEM,IL1B,IL9,INSULIN (family),ivabradine,linsidomine,lovastatin,MAP2K1,MIF,NF1,PAK2,PP1 (complex),Sb202190,sirolimus,TO-901317,tyrphostin AG 18,W7,Y 27632	 	ACTIN (family)	 	 	 	 	 	
naphazoline	chemical drug	3	 	 	0.000	8.79E-08	5.00E-03	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2C,EGFR,ERK (family),ERK1/2 (family),JNK (family),MAPK1,MAPK14,MAPK3,MAPK8,naphazoline,P70 S6K (family),PI3K (complex),PKC (family),RAS (family),SRC,STAT3,TGM2	 	49 (21)	15	 	 	 	ADRA2A	 	 	 	 	 	
ABSK-121	chemical drug	3	 	 	0.000	8.83E-08	2.13E-02	ABSK-121,AKT (family),CREB (family),EGFR,ERBB2,ERBB3,ERK1/2 (family),FGFR (family),FGFR1,FGFR2,FGFR3,IRS1,JINK1/2 (family),JNK (family),MAP3K7,MEK (family),NGEF,nitric oxide,NR3C1,P38 MAPK (family),PI3K (complex),PKC (family),PPARG,RB1,STAT3,TFRC,YAP1	 	70 (27)	25	 	 	 	 	 	 	 	 	 	
sulfisoxazole	chemical drug	3	 	 	0.000	8.88E-08	7.00E-03	AKT (family),AKT1,CREB (family),EDNRA,EDNRB,ERK1/2 (family),MAPK1,MEK (family),PI3K (complex),PKC (family),PPARG,RHOA,SRF,STAT3,sulfisoxazole	 	51 (15)	12	 	 	 	 	EDNRB	 	 	 	 	
bile salts	chemical - endogenous mammalian	2	 	 	0.000	8.94E-08	8.20E-03	bile salts,glycochenodeoxycholate,glycocholic acid,taurochenodeoxycholate,taurocholic acid,TP53	 	50 (6)	6	 	 	 	BID,CDC25A,CHEK1,RPRM,TP53BP2	BAX,BIRC5,BRCA2,CCNB1,CCNG1,CDKN1A,CHEK2,NF1,TADA3,TP53,XRCC5	 	 	 	 	
pioglitazone	chemical drug	2	 	 	0.000	8.98E-08	3.03E-02	AKT (family),BAX,ERK1/2 (family),GSK3B,HIF1A,INSR,INSULIN (family),IRS1,NFE2L2,NFKB (complex),NR3C1,P38 MAPK (family),PI3K (complex),pioglitazone,PKC (family),PPARG,PTGS2,RB1,SMAD2,STAT3,TERT	 	72 (21)	21	 	 	 	ACE2,ADIPOQ,APOE,CAV1,CDKN1A,CYTOCHROME-C OXIDASE (complex),DGK (family),ERK1/2 (family),FGF21,HDL (complex),INSR,INSULIN (family),PTPN11,SLC2A1,SLC2A2,SOD2,TFAM,UCP1,UCP3	AGER,CASP3,CCN2,CEBPD,CMKLR1,CXCL8,EPAS1,IFNB1,IL17A,IL1B,NOTCH1,palmitic acid,PTGS2,PTH,reactive oxygen species,RETN,ROCK (family),TGFB1,VCAM1	 	 	 	 	
IL15	cytokine	2	 	 	0.000	9.06E-08	3.61E-02	AKT (family),AKT1,CD44,ERK (family),ERK1/2 (family),FOS,FOXO3,IL15,IRS1,IRS2,JAK1,JAK3,JNK (family),MAPK1,MAPK3,MAPK8,MTOR,NFATC2,NFKBIA,P38 MAPK (family),RELA,STAT1,STAT3,STAT4,STAT5B,STAT6,TYK2,ZAP70	 	70 (28)	28	AGT,BAX,CRKL,erlotinib,LMNA,lysophosphatidic acid,OSM,Pam3-Cys-Ser-Lys4,PTPN2,TLR3/4 (family)	ascorbic acid,dapagliflozin,ritlecitinib,SIRT6,Tcrd,USP18,XIST	 	CASP3,CBLB,CCL19,CCN2,CD46,CEACAM1,CHRNA7,CXCL8,CXCR4,EDN1,EGLN1,ENO1,ERK1/2 (family),GNLY,HBEGF,HK1,IFNB1,IL13,IL9,ITGB1,KIR3DL1,LCK,MAP2K1,MAPK1,mir-142 (includes others),MKNK1,MMP (family),MTORC1 (complex),NCR1,P70 S6K (family),PDK1,PRDM1,RBX1,RGS16,RPS6KB1,SHC (family),SOCS2,STAT6,UBE2L6,VCAM1	BCL2L11,CAMK2G,CDKN1A,CMKLR1,IGF1R,PIK3R1	 	 	 	 	
VIRMA	other	2	 	 	0.000	9.10E-08	1.91E-02	STAT3,TP53,VIRMA,YAP1	 	60 (4)	4	 	FGFR1,stattic	 	ENO1,TFAP2A,YAP1	CHST11,reactive oxygen species,TP53	 	 	 	 	
enzastaurin	chemical drug	2	 	 	0.000	9.13E-08	1.48E-02	AKT (family),AKT1,enzastaurin,ESR1,FOXO1,GSK3B,MASTL,MYC,NFKB (complex)	 	66 (9)	9	 	 	 	AXL	CXCL8,MASTL	 	 	 	 	
trigonelline	chemical - endogenous mammalian	2	 	 	0.000	9.14E-08	2.02E-02	AKT (family),H2AX,NFE2L2,TP53,trigonelline	 	59 (5)	4	 	 	 	ACE2	AGT,CHEK1,CHEK2,TP53	 	 	 	 	
glycogen	chemical - endogenous mammalian	3	 	 	0.000	9.17E-08	8.10E-03	2-deoxyglucose,AKT (family),AURKB,BCL2,CDK9,CREB (family),D-glucose,glycogen,GSK3B,HEXOKINASE (family),MAP2K1,MAP2K2,MAPK1,MTOR,NPM1,NR1I2,PHK (complex),phosphatidylinositol,PP1 (complex),PREX1,TAFAZZIN,TOR1AIP1	 	55 (22)	18	2-deoxyglucose,ALB,C5AR1,dapagliflozin,FABP3,GW 4064,IGF2,INSR,INSULIN (family),lithium,MYOG,PCK1,PRKAG3,YAP1	dithiothreitol,DUSP1,FGF21,INPPL1,intralipid,MK2206,MLXIPL,nicotine,palmitic acid,RPS6KB1,RPS6KB2,Scd1,sirolimus	 	PP1 (complex)	reactive oxygen species	 	 	 	 	
DAGL (family)	group	3	 	 	0.000	9.19E-08	2.40E-03	ABCB1,AKT (family),AKT1,CCND1,DAGL (family),DAGLA,TRPC5,YAP1	 	37 (8)	5	 	 	 	 	 	 	 	 	 	
PREX2	other	2	 	 	0.000	9.23E-08	2.10E-03	AKT (family),GSK3B,PREX2,PTEN	 	35 (4)	3	HR	miR-34a-5p (and other miRNAs w/seed GGCAGUG)	 	 	 	 	 	 	 	
PP1 (complex)	complex	2	 	 	0.000	9.25E-08	4.60E-03	ACLY,AKT (family),AURKA,AURKB,BCL2,CAMK2D,CDK9,CREB (family),GSK3B,MAP2K1,MAP2K2,MAPK (family),MAPK1,MTOR,NPM1,NR1I2,PP1 (complex),PREX1,SLC6A4,SLC9A1,TAFAZZIN,TIAM1,TOR1AIP1	 	49 (23)	22	amiloride,B56 (family),glycogen,HISTONE H1 (family),INSULIN (family),PKG (family),PROTAMINE (family)	CAV1,phosphatidic acid,ROCK (family),RPS6KA2,tautomycin	 	PREX1,PYRUVATE KINASE (family),YAP/TAZ (family)	AMPA RECEPTOR (complex),MAP2K1,MAPK (family),MAPK1,MLC (family),MYOSIN2 (complex),NPM1,STK3	 	 	 	 	
SN-38	biologic drug	2	 	 	0.000	9.51E-08	7.20E-03	EGFR,JNK (family),KLF4,NFKB (complex),NFKBIA,SN-38,SRC,STAT3,TOP1,VCP	 	48 (10)	10	 	UGT1A1	 	CCL20,CDKN1A,CHEK2,EGFR,TP53,VCP	CCNB1,TOP1	 	 	 	 	
labetalol	chemical drug	3	 	 	0.000	9.70E-08	4.72E-02	ADRA1 (family),ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB (family),ADRB1,ADRB2,ADRB3,AKT (family),AKT1,CREB (family),EGFR,EIF2AK3,ERK1/2 (family),G PROTEIN ALPHA I (family),GNAS,HRAS,INSR,JNK (family),labetalol,LYPLA1,MAPK1,MAPK14,NFKBIA,NR3C1,P38 MAPK (family),PKC (family),PNPLA2,PPARG,PTH,STAT3,TGM2,TNF	 	80 (36)	27	 	 	 	 	ADRA2A	 	 	 	 	
KPNA2	other	3	 	 	0.000	9.88E-08	2.74E-02	AKT (family),BECN1,BRCA1,CHEK2,E2F1,FOXM1,GSK3B,HIF1A,KIFC1,KPNA2,MAPT,PSMD10,RB1,SIAH2,TP53,TP63,TRIM28	 	66 (17)	15	ESR2,PRKACA,USP1	doxorubicin,HMOX2,torkinib,TP53	 	BRCA2,CHEK2,IFNB1,ITGA6,LOXL2,NOTCH1,SPARC	 	 	 	 	 	
PDGFB	growth factor	2	 	 	0.000	9.95E-08	9.90E-03	AKT (family),AKT1,CLOCK,ERK (family),ERK1/2 (family),GSK3B,JNK (family),MAP2K1/2 (family),MAPK (family),MAPK1,MAPK3,MEK (family),MTOR,P38 MAPK (family),PDGFB,PI3K (complex),RAF1,RAS (family),SRC (family),STAT3	 	53 (20)	20	AGT,beta-1,3-glucan,CCN2,decitabine,diethylstilbestrol,DUSP1,EPAS1,erlotinib,F2,FGFR1,IGF2BP2,IL1B,IRX2,NOTCH1,NPM1,PHACTR1,POSTN,PRRX1,PTPRB,RIPOR3,sirolimus,SS18,TGFB1	dasatinib,FOXF2,FRMD6,miR-30c-5p (and other miRNAs w/seed GUAAACA),NF1,SB203580,TP53,VHL	 	ALP (family),BGLAP,CCNB1,CLOCK,COLLAGEN TYPE IV (complex),CXCL8,ERK1/2 (family),FGF1,FGF10,FGF3,FGF7,FMR1,HEMOGLOBIN (complex),MAPK (family),PHLDA1,PTGS2,RAC (family),SH3PXD2A,TNC	CASP3,mir-29 (includes others)	 	 	 	 	
selenomethionine	chemical - endogenous mammalian	2	 	 	0.000	9.95E-08	1.21E-02	AKT (family),GSK3B,selenomethionine,TP53	 	53 (4)	3	 	 	 	PRKAA (family),reactive oxygen species,TP53	P70 S6K (family)	 	 	 	 	
LRP6	transmembrane receptor	2	 	 	0.000	9.98E-08	7.90E-03	AKT (family),CTNNB1,ERK (family),ERK1/2 (family),GSK3B,JNK (family),JUN,LEF1,LRP6,SMAD2/3 (family),STAT1,YAP1	 	52 (12)	12	ANTXR1,ENO1,INSULIN (family),ITGB1,lysophosphatidic acid,MAPK1,OGT,POSTN	ADIPOQ,GBA1,huaier extract granule,mir-29 (includes others),miR-34a-5p (and other miRNAs w/seed GGCAGUG),PTCSC3,salinomycin,stattic,TLE4,VLDLR	 	ALP (family),AXIN2,BGLAP,CCN2,MMP7,MTORC1 (complex),YAP1	EPCAM,ERK1/2 (family),IL17A,IL1B,UCP1,VIM	 	 	 	 	
VRK2	kinase	2	 	 	0.000	1.01E-07	2.24E-02	ERK (family),ERK1/2 (family),IKBKB,JNK (family),MAPK8,MYC,NFATC2,TP53,VRK2	 	63 (9)	8	OSM	sapanisertib,sirolimus	 	CXCL8,PTGS2,TP53	ERK1/2 (family)	 	 	 	 	
oxymetazoline	chemical drug	3	 	 	0.000	1.01E-07	2.10E-03	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRB1,ADRENOCEPTOR (family),EGFR,FOS,G PROTEIN I (complex),GNB1,HTR1B,MAPK14,MAPK8,oxymetazoline,P38 MAPK (family),P70 S6K (family),PIK3CA,PIK3CD,PKC (family),RGS4,SRC,STAT3	 	40 (22)	14	 	 	 	G PROTEIN I (complex)	ADRA2A	 	 	 	 	
METALLOPROTEASE (family)	group	2	 	 	0.000	1.02E-07	2.70E-03	ADAM10,ADAM12,ADAM15,ADAM17,ANPEP,COPS5,ERK1/2 (family),MAPK1,MAPK3,METALLOPROTEASE (family),MMP1,MMP14,MMP2,MMP3,MMP7,MMP9	 	41 (16)	15	IL17A	 	 	ERK1/2 (family),MAPK1	COLLAGEN TYPE IV (complex)	 	 	 	 	
cordycepin	chemical drug	2	 	 	0.000	1.02E-07	2.15E-02	AKT (family),AKT1,cordycepin,ERK (family),GSK3B,JUN,MAP2K1/2 (family),MMP9,MTOR,RELA,TP53	 	62 (11)	11	 	 	 	CASP3,CHEK1,CHEK2,PPP2R3A,reactive oxygen species,SOX2,TP53	ADAM17,IL1B,MYD88	 	 	 	 	
atracurium	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),atracurium,CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,MMP9,MYC,nicotine,P38 MAPK (family),STAT3	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
doxacurium	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,doxacurium,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,MMP9,MYC,nicotine,P38 MAPK (family),STAT3	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
metocurine	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,metocurine,MMP9,MYC,nicotine,P38 MAPK (family),STAT3	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
mivacurium	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,mivacurium,MMP9,MYC,nicotine,P38 MAPK (family),STAT3	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
pancuronium	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,MMP9,MYC,nicotine,P38 MAPK (family),pancuronium,STAT3	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
rapacuronium	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,MMP9,MYC,nicotine,P38 MAPK (family),rapacuronium,STAT3	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
vecuronium	chemical drug	3	 	 	0.000	1.03E-07	1.15E-02	AKT (family),CHRNA1,CHRNA3,CHRNA4,CHRNA7,CHRNB2,ERK1/2 (family),JUN,MAPK1,MAPK14,MAPK8,MAPT,MMP9,MYC,nicotine,P38 MAPK (family),STAT3,vecuronium	 	57 (18)	13	 	 	 	 	CHRNA4,CHRNA7	 	 	 	 	
miR-451a RISC:CDH11 mRNA	complex	3	 	 	0.000	1.03E-07	3.69E-02	AGO2,AGO4,AKT (family),CDH11,ERK1/2 (family),FOS,H2AX,MAPK8,mir-451 (includes others),miR-451a RISC:CDH11 mRNA,MITF,MTOR,NFATC1,NFKB (complex),P38 MAPK (family),PTGS2,SPI1,STAT3,TNRC6A,TP53	 	73 (20)	16	 	 	 	 	 	 	 	 	 	
capsaicin	chemical drug	2	 	 	0.000	1.04E-07	4.17E-02	AKT (family),capsaicin,CASP3,CIITA,EGFR,ERK1/2 (family),HSF1,JUN,MAP2K4,MAPK1,MAPK8,MAPT,NFKB (complex),P38 MAPK (family),P70 S6K (family),PI3K (complex),PPARG,PRKDC,RB1,STAT1,TP53	 	71 (21)	20	 	 	 	BCL2L11,CASP3,CXCL8,ERK1/2 (family),GABA,INSULIN (family),MAP2K4,MAPK1,norepinephrine,P70 S6K (family),platelet activating factor,PTGS2,SLC40A1,SREBF2,TAC1,TACR1,TP53	BAX,EGFR,MAPT,OPRM1,TF,VCAM1	 	 	 	 	
CLCN3	ion channel	3	 	 	0.000	1.04E-07	1.53E-02	AKT (family),ATM,BCL2,BIRC7,CALCINEURIN (complex),CASP3,CLCN3,DICER1,EGFR,EIF2AK2,EP300,ERK1/2 (family),GSDME,H2AX,IL18,JNK (family),LYN,NADPH OXIDASE (complex),NFKB (complex),NOX4,P38 MAPK (family),PTEN,RAC1,SARM1,SP1,STAT1	 	61 (26)	24	SOX2,UCP1	 	 	VCAM1	CASP3,TGFB1	 	 	 	 	
cholesterol sulfate	chemical - endogenous mammalian	3	 	 	0.000	1.06E-07	4.01E-02	AGT,AKT (family),AKT1,cholesterol sulfate,CXCL12,EGF,EGFR,FOXO1,FOXO3,GSK3B,IGF1R,IRS1,LAMP2,MMP (family),MMP1,MMP3,MMP7,MTOR,PI3K (complex),PIK3CA,PIK3R1,PLG,PRKAA (family),RAC1,SERINE PROTEASE (family),SERPINE1,TFPI,TGF BETA (family),TGFB1,TNF,TNFSF11	 	81 (31)	29	 	 	 	MMP7	MMP (family)	 	 	 	 	
